index,count,mean,std,min,25%,50%,75%,max,cv_pct
year,44.0,2019.0,3.199,2014.0,2016.0,2019.0,2022.0,2024.0,0.2
gdp_usd_billion,44.0,92.38,20.462,62.4,76.05,87.05,107.9,136.1,22.1
gdp_growth_pct,44.0,-0.307,6.115,-14.2,-5.125,2.6,4.1,7.3,-1991.9
inflation_pct,44.0,21.209,7.941,7.3,15.35,22.7,26.825,41.9,37.4
exchange_rate_aoa_usd,44.0,403.58,271.665,97.6,166.35,328.45,602.75,961.2,67.3
interest_rate_pct,44.0,15.79,3.037,9.5,15.5,15.625,18.0,20.0,19.2
unemployment_pct,44.0,9.152,1.473,6.2,8.075,9.35,10.225,12.1,16.1
oil_revenue_pct_gdp,44.0,36.832,3.658,29.8,34.9,36.45,38.2,45.3,9.9
non_oil_gdp_growth_pct,44.0,1.195,2.764,-6.2,-0.575,2.05,3.1,5.2,231.3
inflation_pct_ma4,44.0,20.534,7.402,7.3,16.442,20.875,25.412,35.08,36.0
exchange_rate_aoa_usd_ma4,44.0,374.512,249.719,97.6,165.408,310.625,580.775,930.85,66.7
gdp_growth_pct_ma4,44.0,-0.276,5.526,-12.75,-4.65,1.975,3.97,6.4,-2002.2
gdp_variacao_qoq,43.0,0.02,6.215,-20.5,-0.55,1.8,3.055,11.61,31075.0
fx_variacao_qoq,43.0,6.252,13.304,-36.03,2.24,3.94,7.36,53.62,212.8
taxa_juro_real,44.0,-5.419,6.589,-25.9,-8.95,-4.5,-1.25,5.1,-121.6
inflation_pct_norm,44.0,0.402,0.23,0.0,0.233,0.445,0.564,1.0,57.2
exchange_rate_aoa_usd_norm,44.0,0.354,0.315,0.0,0.08,0.267,0.585,1.0,89.0
gdp_growth_pct_norm,44.0,0.646,0.284,0.0,0.422,0.781,0.851,1.0,44.0
unemployment_pct_norm,44.0,0.5,0.25,0.0,0.318,0.534,0.682,1.0,50.0
interest_rate_pct_norm,44.0,0.599,0.289,0.0,0.571,0.583,0.81,1.0,48.2
